,Fretibacterium_fastidiosum,Clostridium_sp_CAG_58
MH0003,-4.267866514961958,-6.0
MH0004,-3.7108602881473245,-6.0
MH0005,-3.9648664230415562,-6.0
MH0006,-4.289648278202088,-6.0
MH0007,-3.7492654843159925,-2.3688042416279127
MH0008,-4.18159498894754,-6.0
MH0010,-4.552686067215002,-3.757297821946111
MH0011,-4.076093991643563,-6.0
MH0012,-3.780984560279457,-6.0
MH0013,-3.295649113936093,-3.2861261840854845
MH0014,-3.8863073655348903,-2.4757795175818154
MH0016,-4.732710882902709,-2.391103942073172
MH0017,-4.02538656948813,-6.0
MH0018,-6.0,-3.0039517935013205
MH0019,-3.6690169448651786,-6.0
MH0020,-4.218087545413807,-3.8786100333479667
MH0022,-3.3063937244298747,-6.0
MH0023,-4.331773973890237,-3.907549385394149
MH0024,-3.9640393018163014,-6.0
MH0025,-3.6242228086705275,-6.0
MH0026,-4.2602879489033825,-3.114666346537338
MH0027,-4.19867965244006,-2.5725508141371582
MH0028,-4.128273263196252,-2.4411955658322078
MH0030,-3.724414111820485,-6.0
MH0031,-3.6324667478041515,-6.0
MH0032,-6.0,-3.43940670359696
MH0033,-4.303393777559272,-4.21016846338084
MH0034,-4.593295551123276,-6.0
MH0035,-3.9053302692406886,-6.0
MH0036,-3.8003541577932745,-6.0
MH0037,-3.8109162835180626,-6.0
MH0038,-3.802065156073624,-6.0
MH0039,-3.9869570493665787,-3.6141657510659693
MH0040,-3.4745658681843783,-6.0
MH0041,-4.961695651033738,-6.0
MH0042,-3.993197681718397,-6.0
MH0043,-3.9221237914078158,-6.0
MH0044,-4.330616219872264,-3.736769544635515
MH0046,-3.9972216011096346,-2.98074480490735
MH0047,-6.0,-6.0
MH0048,-4.272336696498495,-3.054479456302616
MH0049,-6.0,-6.0
MH0051,-4.03941490710768,-6.0
MH0052,-6.0,-6.0
MH0053,-3.8802883014842844,-6.0
MH0054,-4.155067228253006,-6.0
MH0055,-3.7254669707944372,-3.6754216150275067
MH0057,-4.865560610933888,-6.0
MH0058,-3.6043858116798577,-6.0
MH0059,-4.853591181300583,-6.0
MH0060,-4.014033565302324,-6.0
MH0061,-4.12591895596813,-6.0
MH0062,-3.841321940588435,-2.179970615287503
MH0063,-3.6991770970894513,-6.0
MH0064,-4.096155825313397,-4.453249090312164
