,Faecalibacterium_prausnitzii,Bacteroides_uniformis,Bacteroides_vulgatus
MH0003,-1.0465167260320942,-0.9824968825009679,-1.2391051743731663
MH0004,-1.2468712690860007,-1.5985514144086495,-3.2240788102663003
MH0005,-1.674368748755439,-2.8166711862271376,-1.952621373298436
MH0006,-1.4829493975283563,-2.6448463048918973,-1.764028078136815
MH0007,-1.3224728944888113,-1.1802606646735239,-1.2839478834796894
MH0008,-0.8428724377445266,-1.2857494702642884,-0.9271156869012911
MH0010,-1.135378866689229,-0.7606820504229668,-0.8408811980455295
MH0011,-1.205728055548976,-1.3933305785869103,-1.3670903862534427
MH0012,-1.3483565808397067,-2.1874917396992735,-3.0824820641111508
MH0013,-2.1542175713797116,-0.917650696600399,-1.5128177131425564
MH0014,-1.1955705889326875,-1.0145271231202155,-1.1851510262523122
MH0016,-1.7997014483863278,-0.762538053197554,-0.6497566429358588
MH0017,-0.7937932731230665,-1.1822430283280994,-0.9421827233967535
MH0018,-1.6375143410614648,-1.9130326445610348,-0.9906298473744128
MH0019,-1.310764730725741,-0.9730121556589807,-0.8049144840367548
MH0020,-1.3721580406503757,-1.4449551708377557,-6.0
MH0022,-1.3611367105633807,-2.02838011444394,-6.0
MH0023,-1.3975062475913045,-1.9554902378670709,-1.8894526558323534
MH0024,-1.3968177753507358,-0.6108333762448317,-6.0
MH0025,-1.4239681782211269,-1.1104778930798582,-1.176935871090519
MH0026,-1.3278818361087297,-1.095847445149199,-1.2737452982313073
MH0027,-0.9428858169602684,-0.7780925454685925,-1.0351910786218366
MH0028,-1.7396892141706233,-1.1623478388728208,-1.3075692825595224
MH0030,-1.0247817196444085,-3.6338193627530506,-2.175998601772553
MH0031,-1.4885077959595399,-2.6864599266345506,-1.9598299295028605
MH0032,-1.2782008105061353,-2.161162513453593,-1.5339869815906761
MH0033,-1.146179449500042,-1.2875475456624925,-0.8554143541911979
MH0034,-1.4543598595700038,-2.3166108640666114,-1.6905374952127177
MH0035,-1.2093035138062829,-1.0462478747802053,-0.8285827966855736
MH0036,-1.3807626218021911,-6.0,-1.7119181477935637
MH0037,-1.4394038669929106,-0.9697377038107912,-0.8415473191379067
MH0038,-1.4959040672778618,-1.3300662743590115,-1.1848905758321517
MH0039,-1.0303005737529267,-1.1424109958815698,-0.6821364999857742
MH0040,-1.2741186069238795,-1.0488681238014408,-6.0
MH0041,-1.493609565671584,-0.6981058733026758,-1.1422014226686121
MH0042,-1.4000294542747354,-1.1512224660487114,-0.9389972867924866
MH0043,-1.2790026096591112,-1.0181529028159229,-0.751303279502751
MH0044,-0.943904260913092,-1.1675274792104617,-0.7762529830211389
MH0046,-1.1528181126568016,-1.6199894583922105,-1.6650061391005448
MH0047,-1.9637967338089912,-2.0003002751325494,-1.4174735639030664
MH0048,-1.203239201569112,-0.9779170442407565,-1.0653452616956922
MH0049,-1.19841131050924,-0.8764211985810033,-0.9321008617963956
MH0051,-1.6336015842008038,-1.0332588946528722,-3.3098658740157787
MH0052,-1.2507111293516917,-1.5121787519401115,-1.4284291229446415
MH0053,-1.2053255096428486,-2.697614220503409,-5.0036527733282865
MH0054,-1.0134247224241504,-6.0,-6.0
MH0055,-1.0921277156376694,-1.0118146029783313,-1.5260298556178298
