,Clostridium_sp_CAG_58,Fretibacterium_fastidiosum,Ruminococcus_lactaris,Roseburia_sp_CAG_182,Roseburia_sp_CAG_303
MH0003,-6.0,-4.267866514961958,-2.2592773452908377,-2.9451682887537434,-6.0
MH0004,-6.0,-3.7108602881473245,-6.0,-3.6737987653820854,-6.0
MH0005,-6.0,-3.9648664230415562,-3.1833097145771476,-6.0,-6.0
MH0006,-6.0,-4.289648278202088,-6.0,-6.0,-3.9466846565302043
MH0007,-2.3688042416279127,-3.7492654843159925,-3.3396988296495933,-6.0,-6.0
MH0008,-6.0,-4.18159498894754,-2.0808703685854173,-3.7832372460947252,-3.7064451820598627
MH0010,-3.757297821946111,-4.552686067215002,-6.0,-6.0,-6.0
MH0011,-6.0,-4.076093991643563,-2.651525559956458,-6.0,-2.69464425843801
MH0012,-6.0,-3.780984560279457,-2.6695321353597516,-6.0,-6.0
MH0013,-3.2861261840854845,-3.295649113936093,-3.1118322144530572,-6.0,-6.0
MH0014,-2.4757795175818154,-3.8863073655348903,-6.0,-2.1148374958219125,-6.0
MH0016,-2.391103942073172,-4.732710882902709,-2.1645976508775506,-6.0,-6.0
MH0017,-6.0,-4.02538656948813,-2.5313798424634038,-3.5138538209730905,-3.052292564612333
MH0018,-3.0039517935013205,-6.0,-1.7621724476733,-6.0,-6.0
MH0019,-6.0,-3.6690169448651786,-2.9843385421111135,-3.8688127495779727,-6.0
MH0020,-3.8786100333479667,-4.218087545413807,-2.98616073800007,-6.0,-6.0
MH0022,-6.0,-3.3063937244298747,-2.0898367016424717,-2.1386597239332676,-3.408299785873059
MH0023,-3.907549385394149,-4.331773973890237,-6.0,-1.8593057466362974,-6.0
MH0024,-6.0,-3.9640393018163014,-1.9300259943261469,-6.0,-6.0
MH0025,-6.0,-3.6242228086705275,-4.570896710255879,-2.892447016798359,-6.0
MH0026,-3.114666346537338,-4.2602879489033825,-2.0814394179601527,-4.03137628310411,-6.0
MH0027,-2.5725508141371582,-4.19867965244006,-6.0,-3.512816885998249,-6.0
MH0028,-2.4411955658322078,-4.128273263196252,-2.0663365876930477,-3.139805929065162,-6.0
MH0030,-6.0,-3.724414111820485,-6.0,-2.148013889998759,-6.0
MH0031,-6.0,-3.6324667478041515,-6.0,-3.230392196097895,-4.324599078172675
MH0032,-3.43940670359696,-6.0,-2.8779573573812596,-3.1441496255102135,-6.0
MH0033,-4.21016846338084,-4.303393777559272,-2.0979218109529247,-3.996287034285584,-6.0
MH0034,-6.0,-4.593295551123276,-4.007719280974941,-6.0,-6.0
MH0035,-6.0,-3.9053302692406886,-2.251860035496625,-2.8954835804444286,-6.0
MH0036,-6.0,-3.8003541577932745,-2.3759338197905873,-3.2898016488416655,-2.82658957666206
MH0037,-6.0,-3.8109162835180626,-1.8427982168513575,-2.5153019696747765,-6.0
MH0038,-6.0,-3.802065156073624,-3.6415810059795195,-3.53540699997833,-6.0
MH0039,-3.6141657510659693,-3.9869570493665787,-2.4911029412049928,-3.9993973716946254,-3.518798721932803
MH0040,-6.0,-3.4745658681843783,-2.1921504170950143,-2.1150631124453065,-3.1302148077298346
MH0041,-6.0,-4.961695651033738,-2.222201848714827,-6.0,-6.0
MH0042,-6.0,-3.993197681718397,-2.8008660938677252,-2.0730504804138374,-6.0
MH0043,-6.0,-3.9221237914078158,-2.7762540711585673,-6.0,-6.0
MH0044,-3.736769544635515,-4.330616219872264,-3.5137848630348985,-6.0,-2.6542835260222315
MH0046,-2.98074480490735,-3.9972216011096346,-2.706534205431581,-6.0,-6.0
MH0047,-6.0,-6.0,-6.0,-6.0,-6.0
MH0048,-3.054479456302616,-4.272336696498495,-2.103927885231716,-6.0,-1.731318458571745
MH0049,-6.0,-6.0,-2.053828352320921,-6.0,-6.0
MH0051,-6.0,-4.03941490710768,-2.1150777456275547,-3.0675630219244034,-6.0
MH0052,-6.0,-6.0,-2.788383711443498,-6.0,-6.0
MH0053,-6.0,-3.8802883014842844,-6.0,-6.0,-6.0
MH0054,-6.0,-4.155067228253006,-1.8815179393273385,-6.0,-3.397913471593564
MH0055,-3.6754216150275067,-3.7254669707944372,-2.962991697418614,-2.1029161524664146,-6.0
MH0057,-6.0,-4.865560610933888,-2.9263066295403397,-6.0,-6.0
MH0058,-6.0,-3.6043858116798577,-2.2702817127929746,-6.0,-6.0
MH0059,-6.0,-4.853591181300583,-2.335121522861886,-2.695681439380222,-6.0
MH0060,-6.0,-4.014033565302324,-2.274253670848272,-2.9679656521180537,-3.4870385277593448
MH0061,-6.0,-4.12591895596813,-2.225330384905604,-6.0,-6.0
MH0062,-2.179970615287503,-3.841321940588435,-2.3533481708771773,-3.1192744959530248,-6.0
MH0063,-6.0,-3.6991770970894513,-3.299456111131525,-4.543202515493818,-6.0
MH0064,-4.453249090312164,-4.096155825313397,-2.7260901923926437,-3.3114552873002903,-6.0
MH0066,-6.0,-3.6944829670562673,-6.0,-6.0,-6.0
MH0067,-6.0,-6.0,-2.2930551269209363,-6.0,-2.9480819225890045
MH0069,-3.784071347699785,-4.4733985428329754,-2.340181450634721,-3.2271702311799966,-6.0
MH0070,-6.0,-3.796530302045907,-2.6334620200433765,-2.440470185862583,-6.0
MH0072,-2.7703171534822526,-4.216019868209831,-6.0,-3.793636607032546,-6.0
MH0073,-3.899869150267568,-5.026466587790197,-2.1336313205410224,-6.0,-4.544717241091129
MH0074,-6.0,-4.0146564450671915,-6.0,-6.0,-6.0
MH0075,-3.3027474890333046,-3.9632466111917264,-2.1754509423879558,-3.3564994614281702,-6.0
MH0076,-2.6527004451599443,-4.353435148178853,-2.3502083040512165,-2.277053232926961,-2.644460342245529
MH0077,-6.0,-3.743585917813604,-1.9052584822238003,-2.4011719597814922,-6.0
MH0078,-6.0,-6.0,-2.115349729778527,-6.0,-6.0
MH0079,-6.0,-3.7856868586799544,-6.0,-6.0,-6.0
MH0080,-2.5234594120617007,-4.488005371648892,-6.0,-6.0,-2.37475806065707
MH0081,-6.0,-3.868812839159158,-2.367970734416765,-2.8067685132902818,-6.0
MH0082,-3.048393040189109,-4.761745562687255,-2.6545621412351132,-2.8446556487804515,-6.0
MH0083,-6.0,-4.597846584439574,-6.0,-3.5153461591022217,-6.0
MH0084,-3.390826479810203,-6.0,-2.8509501090490628,-6.0,-4.953988774547131
MH0085,-2.8857787662895205,-4.3407958577305665,-6.0,-6.0,-6.0
MH0086,-6.0,-4.341405778308009,-6.0,-6.0,-6.0
MH0087,-6.0,-6.0,-6.0,-1.841257200238426,-6.0
MH0088,-1.9995533049220595,-6.0,-6.0,-6.0,-6.0
MH0089,-6.0,-4.772028216196545,-2.0370195929316486,-6.0,-6.0
MH0091,-6.0,-5.113120915967816,-2.731537926770026,-6.0,-6.0
MH0092,-2.7450000176103906,-4.674733547756011,-2.4082481095714776,-4.214366754187104,-6.0
MH0093,-6.0,-4.809615726161028,-2.3144080745822464,-6.0,-6.0
MH0094,-3.082433281270312,-4.5799852982396105,-6.0,-2.7366341498576934,-6.0
MH0095,-6.0,-5.059873437551019,-6.0,-6.0,-6.0
MH0096,-6.0,-4.2794857303633425,-4.142292825770398,-6.0,-6.0
MH0097,-6.0,-3.82994045462069,-2.9253110395626374,-2.306181076382807,-6.0
MH0098,-6.0,-4.362430878660996,-2.454822035606086,-3.220899899142274,-6.0
MH0099,-6.0,-4.494748572805694,-2.166289259010347,-3.073450055190108,-6.0
MH0100,-4.112513996859204,-4.08206248148374,-6.0,-1.2942105398390829,-6.0
MH0101,-3.107859736410243,-4.303266373890488,-6.0,-6.0,-6.0
MH0102,-2.9496886829445472,-4.963215318733088,-2.2940918745394083,-6.0,-6.0
MH0103,-3.3443115557325074,-4.432718307279507,-6.0,-6.0,-6.0
MH0105,-3.572045063516851,-4.412147873872361,-1.8182773177545744,-6.0,-6.0
MH0106,-3.1652051017451432,-5.275678321083263,-3.2529204616847665,-6.0,-6.0
MH0107,-6.0,-4.7816709083127735,-3.45453885057231,-6.0,-6.0
MH0108,-2.450109807576919,-6.0,-6.0,-6.0,-6.0
MH0110,-4.48111567342551,-6.0,-2.4855487937760845,-6.0,-6.0
MH0111,-6.0,-5.00376663656295,-2.0525190851653727,-6.0,-6.0
MH0113,-6.0,-4.489356868467757,-1.749069054925554,-3.534070285134414,-1.8094353931818126
MH0114,-6.0,-6.0,-6.0,-6.0,-6.0
MH0115,-6.0,-4.034196896363481,-6.0,-3.982835368283742,-6.0
MH0116,-3.010338839557286,-4.444439984209214,-2.4294688985230204,-3.066997162143856,-6.0
MH0117,-6.0,-3.6428638577268972,-1.7128630330859216,-3.135722553215251,-4.58618196054177
MH0118,-6.0,-4.166275746584629,-2.9428910529104373,-6.0,-6.0
MH0119,-2.9890032853486543,-4.749522321050206,-3.052015339525297,-6.0,-6.0
MH0120,-6.0,-3.7761206793313926,-2.7395774937168573,-6.0,-6.0
MH0121,-2.813900367789074,-6.0,-6.0,-6.0,-6.0
MH0122,-6.0,-6.0,-2.115643391139694,-6.0,-6.0
MH0123,-3.020255031041878,-4.801030479404502,-2.6346468651309,-3.8965498399439746,-6.0
MH0124,-6.0,-4.101749837161779,-2.43724286519216,-1.772766500965052,-6.0
MH0125,-6.0,-4.449408725277538,-2.613448909004107,-2.6875552240352962,-6.0
MH0126,-6.0,-4.294057038667679,-1.8079341901094284,-6.0,-6.0
MH0127,-2.1668826696757906,-6.0,-6.0,-6.0,-6.0
MH0128,-2.570994659106865,-6.0,-2.3891867963918125,-6.0,-3.7717946069571844
MH0130,-6.0,-5.154836883763633,-2.972615322941386,-6.0,-6.0
MH0131,-2.237437314587844,-4.345004109142555,-6.0,-1.7492083971810108,-6.0
MH0132,-6.0,-3.8866007472071677,-2.538753448368312,-6.0,-6.0
MH0133,-6.0,-4.706960098301989,-3.8759539236859695,-6.0,-6.0
MH0134,-6.0,-6.0,-2.66967068366681,-6.0,-6.0
MH0135,-6.0,-4.470720485100972,-6.0,-6.0,-6.0
MH0136,-3.0546459935429477,-4.406489313696776,-3.486552608984957,-6.0,-6.0
MH0137,-6.0,-5.136377386855416,-2.629250784139557,-6.0,-2.3663560431096875
MH0138,-6.0,-4.844478879480682,-3.2784855014537198,-6.0,-6.0
MH0140,-6.0,-4.950569205320765,-2.2386959884630526,-6.0,-6.0
MH0141,-2.6494108108161547,-4.274513481911307,-6.0,-6.0,-6.0
MH0144,-6.0,-4.39873908518417,-6.0,-4.50002684235749,-6.0
MH0147,-6.0,-4.023632098056804,-1.6878236283960324,-6.0,-6.0
MH0148,-3.18049036987768,-6.0,-1.8849847902492007,-6.0,-6.0
MH0149,-2.1064695904115442,-4.310731622372933,-6.0,-3.5925433690578323,-6.0
MH0150,-2.813538857627059,-4.852570167320912,-6.0,-6.0,-6.0
MH0151,-6.0,-4.387828878271256,-2.4691492826813493,-6.0,-6.0
MH0152,-6.0,-4.541665280748223,-2.742236599857769,-2.5279166196196634,-6.0
MH0153,-6.0,-4.551216317618569,-2.410825721574728,-6.0,-6.0
MH0154,-2.709885025149966,-4.106295701038392,-6.0,-6.0,-6.0
MH0155,-2.580547482995074,-6.0,-3.1931631569539456,-6.0,-3.618004088952386
MH0156,-6.0,-6.0,-2.5946652222226128,-6.0,-6.0
MH0157,-6.0,-4.09290517672519,-2.5810564365397832,-6.0,-6.0
MH0158,-3.130205589033043,-4.028515416793889,-3.3281538646053628,-6.0,-6.0
MH0159,-6.0,-4.626929635456326,-2.379511192473594,-6.0,-6.0
MH0160,-2.808872115997175,-4.6215097922684505,-3.2510958296074106,-2.594045301316541,-6.0
MH0161,-4.3603567747264,-5.091374367609581,-2.8442911203743773,-2.6180569393759665,-6.0
MH0162,-6.0,-4.507124003807365,-6.0,-6.0,-6.0
MH0163,-6.0,-4.875900665404482,-2.518418652297094,-2.4535845802753755,-6.0
MH0165,-6.0,-4.598388454495355,-3.0744684476653363,-6.0,-6.0
MH0166,-2.492122228060148,-4.805944334793441,-2.579265275665861,-6.0,-6.0
MH0167,-3.124110950411906,-4.781900747728012,-2.5836375891914356,-6.0,-6.0
MH0168,-6.0,-4.417796455734822,-2.4110019767164736,-2.3780983630326666,-6.0
MH0170,-2.8956783447931165,-5.107870979377329,-6.0,-6.0,-6.0
MH0172,-2.3698565328593766,-5.14867127209945,-6.0,-6.0,-6.0
MH0174,-3.4977355231721585,-4.540500430628017,-6.0,-2.895777774599415,-6.0
MH0175,-6.0,-4.481095102936081,-2.278322280361571,-2.8717151877816165,-3.0793174206169995
MH0176,-2.7222569939378167,-4.68814061667422,-2.2868944449481354,-6.0,-4.087137119329053
MH0177,-2.9808540973157736,-4.404190988836586,-2.9148171929372397,-3.504413349346903,-6.0
MH0178,-6.0,-5.161093864387076,-2.943638458765394,-6.0,-6.0
MH0179,-2.2101994901257167,-6.0,-2.1978627628630334,-6.0,-6.0
MH0180,-2.7967105169377877,-6.0,-6.0,-6.0,-6.0
MH0181,-6.0,-4.552045872877388,-5.0261343438079775,-3.338500460454247,-6.0
MH0182,-6.0,-5.107869464755773,-2.3297593406931214,-6.0,-6.0
MH0183,-3.994289576960268,-4.826718591105371,-2.328688156246131,-3.582758996205145,-6.0
MH0184,-2.904989379661626,-5.186925536156433,-2.4571584851093053,-6.0,-6.0
MH0185,-3.221802910869876,-4.487861264188411,-6.0,-2.818178920029027,-6.0
MH0186,-3.3168958367312165,-6.0,-2.462703123447256,-2.8976806519517098,-6.0
MH0187,-6.0,-6.0,-2.620538548333803,-6.0,-6.0
MH0188,-6.0,-5.24384247039177,-2.587852508345222,-6.0,-6.0
MH0189,-6.0,-4.077398575824135,-3.6966700192610293,-3.7768630765396334,-6.0
MH0191,-6.0,-6.0,-6.0,-5.040346671663708,-6.0
MH0193,-6.0,-4.503056182062239,-2.2321248079331655,-1.7261811012294017,-6.0
MH0195,-3.266794628522342,-4.721238705101835,-2.7282896446078917,-2.580928757219008,-6.0
MH0196,-2.8748971336117704,-4.5183249824838025,-2.3302383081562192,-3.4330871958272517,-6.0
MH0197,-6.0,-3.911169444940914,-2.7910547570300297,-6.0,-6.0
MH0198,-6.0,-4.9345868304703036,-2.7943717770975876,-2.692284511416969,-6.0
MH0199,-3.427718819652508,-6.0,-2.5931654055751108,-6.0,-6.0
MH0200,-6.0,-4.513695474568349,-2.2880710451258652,-2.6104086762654006,-6.0
MH0203,-6.0,-4.274578477783148,-6.0,-2.8450604189371362,-6.0
MH0204,-6.0,-4.84756047616153,-2.886997984249708,-6.0,-3.302085421644875
MH0205,-6.0,-4.902972900045196,-2.9510427602590226,-2.9858145788421306,-6.0
