,scc,p
k__Akkermansia_muciniphila,-1694.0,0.004384983484681262
k__Alistipes_sp_CAG_831,-284.5,0.045046164508476524
k__Allisonella_histaminiformans,921.5,0.04878849196985765
k__Anaerostipes_hadrus,-1589.0,0.008335520049467858
k__Bacteroides_intestinalis,-955.5,0.028321659377207157
k__Bacteroides_massiliensis,-1089.5,0.029037985059291407
k__Bacteroides_pectinophilus,-768.0,0.011922942649606595
k__Barnesiella_sp_An22,-369.5,0.017277710577393475
k__Blautia_coccoides,-571.5,0.004051896646099983
k__Cloacibacillus_porcorum,-405.5,0.023129284622912617
k__Clostridium_sp_CAG_411,-827.5,0.02739487473395902
k__Clostridium_sp_CAG_413,-670.5,0.049179965411431714
k__Clostridium_sp_CAG_58,2208.5,6.123470744650345e-05
k__Clostridium_sp_CAG_964,-622.5,0.0009890618480111603
k__Coprobacter_secundus,-1185.5,0.029602990256599074
k__Denitrobacterium_detoxificans,-1442.5,0.0031934440766133478
k__Desulfovibrio_fairfieldensis,-333.5,0.008748065911544249
k__Enorma_massiliensis,-1302.5,0.030293877295503556
k__Enterorhabdus_caecimuris,-1233.5,0.03872693901484884
k__Eubacterium_rectale,1563.0,0.009499601541388859
k__Eubacterium_sp_CAG_180,1297.5,0.018093600308255887
k__Eubacterium_sp_CAG_786,-621.0,0.015197247878812555
k__Firmicutes_bacterium_CAG_238,-1418.5,0.010752978155571824
k__Firmicutes_bacterium_CAG_424,455.5,0.03621160257269116
k__Firmicutes_bacterium_CAG_555,-864.5,0.0017250754750535698
k__Flavonifractor_plautii,1625.5,0.0068166728351364645
k__Fretibacterium_fastidiosum,-2626.5,1.1964190516739243e-05
k__Fusobacterium_sp_CAG_439,-792.0,0.0032824931116256944
k__Gordonibacter_pamelaeae,-1182.5,0.048295476136803406
k__Haemophilus_parainfluenzae,-1296.5,0.021064821125794792
k__Hydrogenibacillus_schlegelii,-542.5,0.02912196607335233
k__Klebsiella_variicola,-589.5,0.01452926437051566
k__Lachnospira_pectinoschiza,1289.0,0.0311512625398875
k__Lactobacillus_mucosae,343.5,0.040660984046316045
k__Megasphaera_elsdenii,611.5,0.03791505408612309
k__Methanobrevibacter_smithii,-1286.5,0.01824074831657504
k__Mitsuokella_jalaludinii,744.5,0.038201510915426555
k__Mogibacterium_diversum,-284.5,0.045046164508476524
k__Roseburia_sp_CAG_182,-1400.0,0.009863533965322692
k__Roseburia_sp_CAG_303,-1255.0,0.00054454818941545
k__Roseburia_sp_CAG_309,-1892.0,0.0008232365710185309
k__Ruminococcus_lactaris,-1785.5,0.0026738493075016954
k__Streptococcus_anginosus_group,-282.5,0.04657621127671794
k__Thermoleophilum_album,-1187.5,0.0019255819685917673
k__Veillonella_dispar,-1308.0,0.017326536110072486
k__Veillonella_infantium,-1200.5,0.014942205453076068
k__Veillonella_sp_T11011_6,-828.5,0.033793900100592314
